מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P3095,1730079,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P3
P3095,1730082,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P3
P3086,1608279,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P3
P3086,4320216,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3015,1729041,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3015,1729042,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3015,3045916,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3015,3067767,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067794,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067802,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067810,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067820,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067828,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3067836,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3015,3083032,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3088,1729040,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3088,3067891,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3088,3067899,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3088,3067908,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3088,3124906,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3018,1728864,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3018,2708815,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3018,2708830,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3018,2708846,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3018,3128987,Lighting Fixtures,42W 4000K,סי לד 6600,P3
